date,year,month,total_kwh,semiconductor_kwh,semiconductor_share_pct
2021-01-01,2021,1,12825333927,2358479320,18.3892
2021-02-01,2021,2,11313198426,2313823450,20.4524
2021-03-01,2021,3,13656638220,2605610618,19.0794
2021-04-01,2021,4,13391252885,2564832728,19.153
2021-05-01,2021,5,14503747105,2825799886,19.4832
2021-06-01,2021,6,14082795670,2802878957,19.9029
2021-07-01,2021,7,14744202146,2961729787,20.0874
2021-08-01,2021,8,14794827420,2958870375,19.9994
2021-09-01,2021,9,14621226565,2894096706,19.7938
2021-10-01,2021,10,14844691446,2952096845,19.8865
2021-11-01,2021,11,13812739503,2758887489,19.9735
2021-12-01,2021,12,13787288400,2808921762,20.3733
2022-01-01,2022,1,13340875306,2766661526,20.7382
2022-02-01,2022,2,12009396906,2568590024,21.3882
2022-03-01,2022,3,14013871056,2868560189,20.4694
2022-04-01,2022,4,13685014220,2934556036,21.4436
2022-05-01,2022,5,14462697814,3138202580,21.6986
2022-06-01,2022,6,14658741204,3187190713,21.7426
2022-07-01,2022,7,15303607430,3295784558,21.536
2022-08-01,2022,8,15390641782,3351984351,21.7794
2022-09-01,2022,9,14613312444,3137312242,21.4689
2022-10-01,2022,10,14218764105,3125506983,21.9816
2022-11-01,2022,11,13599068151,3050498190,22.4317
2022-12-01,2022,12,13276946769,2932175190,22.0847
2023-01-01,2023,1,12193926090,2954640725,24.2304
2023-02-01,2023,2,11819327094,2580121376,21.8297
2023-03-01,2023,3,13311553113,3011468783,22.623
2023-04-01,2023,4,13120229641,3045794707,23.2145
2023-05-01,2023,5,14029663008,3241617186,23.1055
2023-06-01,2023,6,14066541932,3272132087,23.2618
2023-07-01,2023,7,14889066311,3464850276,23.2711
2023-08-01,2023,8,14973437693,3448820929,23.0329
2023-09-01,2023,9,14566843425,3328097256,22.8471
2023-10-01,2023,10,14197010479,3388101925,23.8649
2023-11-01,2023,11,13423310376,3077877722,22.9293
2023-12-01,2023,12,13421981460,3184775771,23.7281
2024-01-01,2024,1,13140850506,3114370257,23.6999
2024-02-01,2024,2,11606622350,2943485206,25.3604
2024-03-01,2024,3,13376590594,3164009190,23.6533
2024-04-01,2024,4,13549568372,3223710508,23.792
2024-05-01,2024,5,14654594059,3460388608,23.613
2024-06-01,2024,6,14313791321,3461869740,24.1856
2024-07-01,2024,7,15148644973,3572704239,23.5843
2024-08-01,2024,8,15421600769,3647843106,23.6541
2024-09-01,2024,9,14753842652,3549601036,24.0588
2024-10-01,2024,10,14395095339,3509505147,24.3799
2024-11-01,2024,11,13823168368,3328024312,24.0757
2024-12-01,2024,12,13352749978,3237362029,24.2449
2025-01-01,2025,1,12475609881,3169523979,25.4058
2025-02-01,2025,2,11852152278,2993981318,25.2611
2025-03-01,2025,3,13493777562,3462964695,25.6634
2025-04-01,2025,4,13614827103,3454948429,25.3764
2025-05-01,2025,5,14727086464,3813163392,25.8922
2025-06-01,2025,6,14664423273,3778546844,25.7668
2025-07-01,2025,7,15298571731,3965448122,25.9204
2025-08-01,2025,8,15419078842,3994981207,25.9093
2025-09-01,2025,9,14934300227,3849498860,25.7762
2025-10-01,2025,10,15162617807,3996434562,26.3572
2025-11-01,2025,11,13631399023,3577744601,26.2463
2025-12-01,2025,12,11739809877,2326904118,19.8206
