行業別大類,行業別中類,行業別小類,月份,售電量
A.農、林、漁、牧業,01 農、牧業,011 農作物栽培業,01,40966318
A.農、林、漁、牧業,01 農、牧業,012 畜牧業,01,54724763
A.農、林、漁、牧業,01 農、牧業,013 農事及畜牧服務業,01,46512195
A.農、林、漁、牧業,02 林業,021 林業,01,165173
A.農、林、漁、牧業,03 漁業,031 漁撈業,01,296862
A.農、林、漁、牧業,03 漁業,032 水產養殖業,01,70464935
B.礦業及土石採取業,05 石油及天然氣礦業,,01,2385868
B.礦業及土石採取業,06 砂、石採取及其他礦業,,01,22905749
C.製造業,08 食品及飲料製造業,081 肉類加工及保藏業,01,48882011
C.製造業,08 食品及飲料製造業,082 水產加工及保藏業,01,23023788
C.製造業,08 食品及飲料製造業,083 蔬果加工及保藏業,01,20332241
C.製造業,08 食品及飲料製造業,084 動植物油脂製造業,01,12487319
C.製造業,08 食品及飲料製造業,085 乳品製造業,01,24138110
C.製造業,08 食品及飲料製造業,086 碾穀、磨粉及澱粉製品製造業,01,17454445
C.製造業,08 食品及飲料製造業,087 動物飼品製造業,01,27771441
C.製造業,08 食品及飲料製造業,089 其他食品製造業,01,145425825
C.製造業,09 飲料製造業,091 酒精飲料製造業,01,8582592
C.製造業,09 飲料製造業,092 非酒精飲料製造業,01,13791876
C.製造業,10 菸草製造業,,01,3151667
C.製造業,11 紡織業,111 紡紗業,01,79126330
C.製造業,11 紡織業,112 織布業,01,119907324
C.製造業,11 紡織業,113 不織布業,01,19068404
C.製造業,11 紡織業,114 染整業,01,39790077
C.製造業,11 紡織業,115 紡織品製造業,01,17875252
C.製造業,12 成衣及服飾品製造業,121 成衣製造業,01,5692469
C.製造業,12 成衣及服飾品製造業,123 服飾品製造業,01,2782989
C.製造業,13 皮革、毛皮及其製品製造業,,01,6971354
C.製造業,14 木竹製品製造業,,01,9121210
C.製造業,15 紙漿、紙及紙製品製造業,151 紙漿、紙及紙板製造業,01,70431443
C.製造業,15 紙漿、紙及紙製品製造業,152 瓦楞紙板及紙容器製造業,01,27287569
C.製造業,15 紙漿、紙及紙製品製造業,153 其他紙製品製造業,01,28794098
C.製造業,16 印刷及資料儲存媒體複製業,,01,26934510
C.製造業,17 石油及煤製品製造業,,01,166515447
