aggregation,endpoint,maxlags,N,beta,pvalue
monthly_mean,2023-01_to_2025-12,0,36,10.434640837701048,1.2469164598638923e-24
monthly_mean,2023-01_to_2025-12,3,36,10.434640837701048,1.7552215601637322e-94
monthly_mean,2023-01_to_2025-12,6,36,10.434640837701048,4.560315531312882e-116
monthly_mean,2023-01_to_2025-12,12,36,10.434640837701048,2.1538201882756666e-138
monthly_mean,2023-01_to_2026-03,0,39,9.818484870131432,4.797708236979985e-22
monthly_mean,2023-01_to_2026-03,3,39,9.818484870131432,1.3138347407998228e-46
monthly_mean,2023-01_to_2026-03,6,39,9.818484870131432,2.26992866721602e-57
monthly_mean,2023-01_to_2026-03,12,39,9.818484870131432,5.257615083128288e-74
monthly_mean,2023-01_to_2026-06,0,42,8.860592091389984,9.224866239813874e-18
monthly_mean,2023-01_to_2026-06,3,42,8.860592091389984,2.9941159491249543e-18
monthly_mean,2023-01_to_2026-06,6,42,8.860592091389984,9.170231294912615e-16
monthly_mean,2023-01_to_2026-06,12,42,8.860592091389984,1.0990582127200475e-17
monthly_last,2023-01_to_2025-12,0,36,10.421165605220605,3.4485606112002624e-24
monthly_last,2023-01_to_2025-12,3,36,10.421165605220605,1.8990564512359933e-88
monthly_last,2023-01_to_2025-12,6,36,10.421165605220605,5.3145332275445134e-108
monthly_last,2023-01_to_2025-12,12,36,10.421165605220605,6.27455639465633e-135
monthly_last,2023-01_to_2026-03,0,39,9.721814445383773,5.707707939446948e-21
monthly_last,2023-01_to_2026-03,3,39,9.721814445383773,5.059979179990824e-37
monthly_last,2023-01_to_2026-03,6,39,9.721814445383773,1.3158116706870218e-41
monthly_last,2023-01_to_2026-03,12,39,9.721814445383773,2.609354481339825e-52
monthly_last,2023-01_to_2026-06,0,42,8.689353151813785,1.709512433462368e-16
monthly_last,2023-01_to_2026-06,3,42,8.689353151813785,4.8602712208272226e-15
monthly_last,2023-01_to_2026-06,6,42,8.689353151813785,1.1418960418370796e-12
monthly_last,2023-01_to_2026-06,12,42,8.689353151813785,9.277144782684861e-14
