variant,pre_coef,pre_p_hac,pre_p_cluster,pre_n,post_coef,post_p_hac,post_p_cluster,post_n
legacy_panel,-0.262347427051995,0.0005156475703374068,0.0007345332732709618,872,-0.07081070948464456,0.13312545559520997,0.12582057266841074,1408
geo_cambridge_prices_freeze,-0.2647086020254228,0.0004572423347543573,0.0006578744963443725,872,-0.06698908015645297,0.15167035579010277,0.14460543370206413,1408
geo_datagath_prices_freeze,-0.2604065180564119,0.0005529863958410946,0.0007807608313010466,872,-0.07327548721987986,0.12141203655456771,0.11396525592954439,1408
geo_fusion_prices_freeze,-0.264155000546998,0.0004558014397092011,0.000655469069888698,872,-0.06775448057427669,0.14719120694489798,0.14004556571325497,1408
geo_cambridge_us_dominant,-0.264699568759891,0.0004537291561246012,0.0006530182456373485,872,-0.06494565396195379,0.15163983158178607,0.14433500031830465,1408
geo_cambridge_global_avg,-0.26470898709293694,0.0004584949139384262,0.0006596177256247086,872,-0.06723603302923059,0.15230137319002085,0.1452859965407431,1408
restricted_to_cambridge_end,-0.26227603319495907,0.0005314672731518183,0.0007567315873075377,872,-2.844232550334919,1.9297115808161412e-07,5.941669403719232e-08,166
seed_2018_half,-0.22374288396331649,0.002428885919676844,0.002971600597759011,872,-0.06874943066156686,0.1428462832779822,0.1356649378842515,1408
seed_2018_zero,-0.10369144073250694,0.09916410534824917,0.09709203526011574,872,-0.06622730881678457,0.15556205933662112,0.14854991450898167,1408
seed_2018_double,-0.2912362938575929,0.00014961823765101144,0.00023992669323243777,872,-0.07388261908927295,0.11957749931731518,0.11212054100878158,1408
mcap_over_cum_twh,-0.26175391286583694,0.0005192423077811692,0.0007390106603010365,872,-0.07090904637601501,0.13275018765449154,0.1254446669173422,1408
mcap_over_cum_days,-0.2811377794101462,0.00026907683257549735,0.00040595790114151837,872,-0.07050068440608687,0.12626079366586657,0.11903582190208234,1408
