regime,outcome,regressor,n,coef,p_hac,adj_r2
pre_ban,ret_30d,CEIR,892,-0.26286417111319316,0.00048668120405244935,0.1866158327478229
pre_ban,ret_30d,MCap_over_cum_TWh,892,-0.26226915451405375,0.000490350180580353,0.18644285950504536
pre_ban,ret_30d,MCap_over_cum_days,892,-0.2798939739689468,0.00020568833076734937,0.20066770335899142
pre_ban,ret_30d_nonoverlap,CEIR,30,-0.22056353305369364,0.0008458163242550804,0.07479358852815277
pre_ban,ret_30d_nonoverlap,MCap_over_cum_TWh,30,-0.22009267346075925,0.0008586643379195106,0.07468220898069722
pre_ban,ret_30d_nonoverlap,MCap_over_cum_days,30,-0.23749971495200112,0.00028901743037483785,0.08915688828326584
pre_ban,ret_1m,CEIR,29,-0.22364553878383833,0.0013311993720696847,0.005495419461000628
pre_ban,ret_1m,MCap_over_cum_TWh,29,-0.22319218257725545,0.0013494210979399376,0.0053922832009047905
pre_ban,ret_1m,MCap_over_cum_days,29,-0.24264413572002147,0.000381283049811558,0.02212825599154633
post_ban,ret_30d,CEIR,1408,-0.07060014665567706,0.13480389815009533,0.04131450685445315
post_ban,ret_30d,MCap_over_cum_TWh,1408,-0.07069751626535133,0.13443068180509357,0.041356243350025745
post_ban,ret_30d,MCap_over_cum_days,1408,-0.07021152333026326,0.12844174118847174,0.04204163691310481
post_ban,ret_30d_nonoverlap,CEIR,47,-0.07258208250998971,0.052682230501085864,-0.02673493655125303
post_ban,ret_30d_nonoverlap,MCap_over_cum_TWh,47,-0.07268189598651488,0.052432846798992884,-0.026690326484613003
post_ban,ret_30d_nonoverlap,MCap_over_cum_days,47,-0.07213324966177952,0.051310803357949,-0.026044007878650355
post_ban,ret_1m,CEIR,47,-0.058542293236552606,0.09954629679961821,-0.040461600250925045
post_ban,ret_1m,MCap_over_cum_TWh,47,-0.05862202861253329,0.09919637399997107,-0.04043093481014903
post_ban,ret_1m,MCap_over_cum_days,47,-0.058845986235459606,0.0884716514217115,-0.03951492989428029
full,ret_30d,CEIR,2300,-0.1416624953472305,0.0011456490978900672,0.10211457659154166
full,ret_30d,MCap_over_cum_TWh,2300,-0.14191171621377682,0.001132207747883201,0.1021776010724531
full,ret_30d,MCap_over_cum_days,2300,-0.14237829270183908,0.0009408323974279956,0.10501734544246921
full,ret_30d_nonoverlap,CEIR,76,-0.1358212311650559,1.4460026683839803e-09,0.060468068163865296
full,ret_30d_nonoverlap,MCap_over_cum_TWh,76,-0.1360102756775624,1.4523345270375302e-09,0.06048596636243775
full,ret_30d_nonoverlap,MCap_over_cum_days,76,-0.13744786370805684,3.323645713271778e-09,0.06462293213186987
full,ret_1m,CEIR,76,-0.12814788626312676,7.208314060788082e-08,0.025391515564888167
full,ret_1m,MCap_over_cum_TWh,76,-0.1282645254394962,7.693470119352893e-08,0.02535008148089113
full,ret_1m,MCap_over_cum_days,76,-0.13075013319726295,2.0380515305293036e-07,0.030265768034041796
