sigma,sigma_pct,put_premium,call_premium,net_cost,net_pct_of_spot
0.1,10%,1.1062176732259954e-05,4.106230622455756e-05,-3.0000129492297606e-05,-0.0005714310379485259
0.3,30%,0.0009853249040970707,0.0014008694648482561,-0.0004155445607511854,-0.007915134490498769
0.5,50%,0.002656346879976311,0.0033617834752784903,-0.0007054365953021793,-0.013436887529565322
0.7,70%,0.004480319489082105,0.00543098737564229,-0.0009506678865601852,-0.01810795974400353
0.9,90%,0.006346396965746501,0.007523856278646671,-0.0011774593129001698,-0.022427796436193713
1.1,110%,0.008218317529997604,0.009612350557542806,-0.0013940330275452016,-0.02655301004848003
1.3,130%,0.010079033615015102,0.011682513847350053,-0.0016034802323349508,-0.030542480615903825
1.5,150%,0.011918290829034763,0.013725351758283537,-0.0018070609292487744,-0.03442020817616713
1.7,170%,0.01372882666563844,0.01573409383128003,-0.002005267165641589,-0.03819556505983979
1.9,190%,0.015504953164356614,0.01770318733651423,-0.002198234172157615,-0.04187112708871647
2.1,210%,0.017241953294591023,0.019627875733258367,-0.002385922438667344,-0.04544614168890179
2.3,230%,0.018935798779068938,0.02150400596981094,-0.0025682071907420015,-0.04891823220460955
2.5,250%,0.02058300886357845,0.02332793497669902,-0.0027449261131205667,-0.05228430691658222
2.7,270%,0.02218057558040635,0.02509648208294884,-0.0029159065025424896,-0.055541076238904565
2.9,290%,0.02372592184086763,0.026806903334620595,-0.0030809814937529656,-0.05868536178577077
