S0,sigma,price
0.042,1.4175,0.008403786126261234
0.042,1.89,0.011927615768765528
0.042,2.3625,0.015560651112530731
0.04725,1.4175,0.011071150811365673
0.04725,1.89,0.016451444207330135
0.04725,2.3625,0.020172622724896803
0.0525,1.4175,0.014561560707427418
0.0525,1.89,0.019462089964249415
0.0525,2.3625,0.023596409835282824
0.05775,1.4175,0.01806917618065851
0.05775,1.89,0.022786166006079075
0.05775,2.3625,0.027658405534757468
0.063,1.4175,0.021995293122638135
0.063,1.89,0.027712100240151496
0.063,2.3625,0.027545761758976127
