Quarter,Date,sigma,sigma_pct,call_atm,put_atm,collar_net,collar_pct_spot,margin_99,margin_99x,margin_95,margin_95x,oracle_max_err_95pct_VR,jb_pvalue,returns_n,vol_method,year
2020-Q1,2020-01-01,2.077276365568524,207.7%,0.020913294585086194,0.02058619284281442,-0.0023648669389141758,-0.045045084550746205,0.8068853026667367,15.369243860318797,0.358292864899379,6.82462599808341,0.23827994092943824,0.5492789650301828,358,thesis_reconstructed,2020
2020-Q2,2020-04-01,1.9708101818899435,197.1%,0.019935435723144906,0.01960833398087313,-0.002265294223829324,-0.04314846140627284,0.7035764741969246,13.401456651369992,0.3215429594920123,6.124627799847853,0.22606743209892846,0.9835155853810528,358,thesis_reconstructed,2020
2020-Q3,2020-07-01,1.8239897020745495,182.4%,0.01856587699074501,0.018238775248473234,-0.002125513953859369,-0.04048598007351179,0.5805813929894261,11.058693199798594,0.27587815220053574,5.254821946676872,0.20922596803689014,0.914603155343137,358,thesis_reconstructed,2020
2020-Q4,2020-10-01,1.83684148677397,183.7%,0.018686704117834206,0.01835960237556243,-0.0021378627415385328,-0.040721195076924434,0.5905273912209343,11.248140785160654,0.2796581799258933,5.32682247477892,0.21070016884607215,0.8404119719690244,358,thesis_reconstructed,2020
2021-Q1,2021-01-01,1.7697833897290274,177.0%,0.01805431464202541,0.01772721289975364,-0.002073191209095049,-0.039489356363715214,0.5402318351268657,10.29013019289268,0.2603684899656915,4.959399808870314,0.20300807757330772,0.7790396823598031,358,thesis_reconstructed,2021
2021-Q2,2021-04-01,1.8359234644053695,183.6%,0.018678079148807668,0.018350977406535893,-0.0021369813671300412,-0.04070440699295317,0.5898119843189878,11.23451398702834,0.2793868356434979,5.321654012257103,0.2105948644583711,0.25450036704594164,358,thesis_reconstructed,2021
2021-Q3,2021-07-01,1.796056146274465,179.6%,0.018302647837839928,0.017975546095568153,-0.002098599049955959,-0.03997331523725636,0.5594704063062129,10.65657916773739,0.2677991301668928,5.10093581270272,0.20602176943514483,0.03975167671706012,358,thesis_reconstructed,2021
2021-Q4,2021-10-01,1.741370325129556,174.1%,0.0177849380413574,0.01745783629908562,-0.0020456119728430137,-0.03896403757796217,0.5200781765599017,9.906250982093367,0.25251173263134624,4.809747288216119,0.19974887554000803,0.021041697154683733,358,thesis_reconstructed,2021
2022-Q1,2022-01-01,1.9024643161371229,190.2%,0.019300865306803187,0.018973763564531412,-0.002200579103480805,-0.04191579244725343,0.643700717079569,12.260966039610839,0.2995968390420986,5.706606457944735,0.21822762362457734,0.28544241216335664,358,thesis_reconstructed,2022
2022-Q2,2022-04-01,1.8505570182381064,185.1%,0.018815455351199085,0.01848835360892731,-0.0021510175774690707,-0.040971763380363256,0.6013073983547716,11.453474254376603,0.28373671224686886,5.404508804702264,0.21227344820420696,0.4865744636734829,358,thesis_reconstructed,2022
2022-Q3,2022-07-01,1.9140644751176707,191.4%,0.019408937936963137,0.019081836194691365,-0.0022116065306982333,-0.04212583867996635,0.6535303198123865,12.448196567854982,0.30323504922179645,5.77590569946279,0.21955825311734614,0.815267869918598,358,thesis_reconstructed,2022
2022-Q4,2022-10-01,1.9447128667620674,194.5%,0.019693750241077942,0.019366648498806163,-0.002240656226580283,-0.04267916622057682,0.6801490521904106,12.955220041722106,0.31301665425305003,5.9622219857723815,0.22307386474787197,0.92659078898282,358,thesis_reconstructed,2022
2023-Q1,2023-01-01,1.9296146417434663,193.0%,0.0195535755393618,0.019226473797090027,-0.0022263610791120533,-0.04240687769737245,0.6669171606820783,12.703184012991969,0.308167060900972,5.869848779066134,0.22134197956147933,0.969553003558299,358,thesis_reconstructed,2023
2023-Q2,2023-04-01,1.8700034142549833,187.0%,0.018997653675651666,0.018670551933379895,-0.0021696266676298204,-0.041326222240568006,0.6168899792512548,11.75028531907152,0.28959908698571896,5.516173085442266,0.21450410281088167,0.6603928328327434,358,thesis_reconstructed,2023
2023-Q3,2023-07-01,1.8147602651487118,181.5%,0.018478996343748263,0.01815189460147649,-0.0021166323884565796,-0.04031680739917295,0.5735300450144415,10.924381809798886,0.2731881663726754,5.203584121384294,0.20816727901411358,0.4963721728432946,358,thesis_reconstructed,2023
2023-Q4,2023-10-01,1.8148683510717485,181.5%,0.018480014330071202,0.018152912587799427,-0.002116736465024905,-0.040318789809998194,0.5736121853546092,10.925946387706842,0.27321955041021634,5.2041819125755495,0.20817967731979087,0.7840193295985779,358,thesis_reconstructed,2023
2024-Q1,2024-01-01,1.8251450513094876,182.5%,0.01857674636312324,0.018249644620851463,-0.0021266249702869694,-0.040507142291180374,0.5814694385958308,11.0756083542063,0.2762163318206771,5.261263463250993,0.2093584956831952,0.7337094674810416,358,thesis_reconstructed,2024
2024-Q2,2024-04-01,1.8844181843922976,188.4%,0.019132442695020024,0.018805340952748245,-0.002183388700710595,-0.041588356204011336,0.6286706463018202,11.974678977177529,0.2940057128790655,5.600108816744105,0.21615759034569537,0.7109751405477318,358,thesis_reconstructed,2024
2024-Q3,2024-07-01,1.9090758890442325,190.9%,0.019362480205390876,0.019035378463119104,-0.00220686642015451,-0.04203555086008591,0.6492868670322574,12.367368895852522,0.30166618845512944,5.746022637240561,0.218986023049839,0.35701131107533357,358,thesis_reconstructed,2024
2024-Q4,2024-10-01,1.9062099348527322,190.6%,0.01933577761989686,0.019008675877625086,-0.002204141730883437,-0.04198365201682737,0.6468601243734178,12.32114522616034,0.30076779028536715,5.728910291149851,0.21865727555779776,0.8116139292386797,358,thesis_reconstructed,2024
